id_student,rank,module,hybrid_score,content_score,markov_score,cf_score,method_used,explanation
29411,1,EEE,1.0,1.0,1.0,0.1257,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
29411,2,CCC,0.4458,0.0,0.4458,0.8929,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
29411,3,FFF,0.4458,0.9777,0.4458,1.0,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
35355,1,CCC,1.0,0.8833,1.0,0.6854,Content+Markov+CF,CCC: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
35355,2,FFF,1.0,0.8977,1.0,1.0,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
35355,3,DDD,0.9444,0.8556,0.9444,0.0,Content+Markov,DDD: matches your academic profile; commonly chosen next by students with similar outcomes.
36385,1,DDD,1.0,0.0,1.0,0.0,Markov,DDD: commonly chosen next by students with similar outcomes.
36385,2,CCC,0.1538,0.0,0.1538,0.0,Markov,CCC: recommended based on available signals.
36385,3,EEE,0.0302,1.0,0.0302,0.0,Content+Markov,EEE: matches your academic profile.
42638,1,DDD,1.0,0.888,1.0,0.569,Content+Markov+CF,DDD: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
42638,2,FFF,0.9556,0.9215,0.9556,0.6748,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
42638,3,CCC,0.0222,0.8732,0.0222,1.0,Content+Markov+CF,CCC: matches your academic profile; popular among students with similar study patterns.
45664,1,EEE,1.0,0.981,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
45664,2,CCC,0.4458,0.0,0.4458,0.162,Markov+CF,CCC: commonly chosen next by students with similar outcomes.
45664,3,FFF,0.4458,0.9208,0.4458,1.0,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
50263,1,EEE,1.0,0.9781,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
50263,2,CCC,0.4458,0.0,0.4458,0.0,Markov,CCC: commonly chosen next by students with similar outcomes.
50263,3,DDD,0.4211,0.0,0.4211,0.0,Markov,DDD: commonly chosen next by students with similar outcomes.
54062,1,CCC,1.0,0.0,1.0,1.0,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
54062,2,FFF,1.0,0.9246,1.0,0.0948,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
54062,3,DDD,0.9444,0.0,0.9444,0.0,Markov,DDD: commonly chosen next by students with similar outcomes.
63112,1,FFF,1.0,0.9357,1.0,0.0,Content+Markov,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
63112,2,CCC,0.1374,0.0,0.1374,1.0,Markov+CF,CCC: popular among students with similar study patterns.
63112,3,DDD,0.0383,0.0,0.0383,0.0,Markov,DDD: recommended based on available signals.
69489,1,CCC,1.0,0.0,1.0,0.0,Markov,CCC: commonly chosen next by students with similar outcomes.
69489,2,DDD,0.766,0.0,0.766,0.0,Markov,DDD: commonly chosen next by students with similar outcomes.
69489,3,FFF,0.1702,1.0,0.1702,0.0,Content+Markov,FFF: matches your academic profile.
70495,1,EEE,1.0,0.961,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
70495,2,DDD,0.3543,0.8885,0.3543,0.0,Content+Markov,DDD: matches your academic profile; commonly chosen next by students with similar outcomes.
70495,3,GGG,0.0079,1.0,0.0079,0.0716,Content+Markov+CF,GGG: matches your academic profile.
80329,1,CCC,1.0,0.9429,1.0,0.513,Content+Markov+CF,CCC: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
80329,2,EEE,0.0343,0.983,0.0343,1.0,Content+Markov+CF,EEE: matches your academic profile; popular among students with similar study patterns.
80329,3,BBB,0.0093,0.9592,0.0093,0.4589,Content+Markov+CF,BBB: matches your academic profile; popular among students with similar study patterns.
80868,1,EEE,1.0,0.9759,1.0,0.1709,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
80868,2,FFF,0.3386,0.9345,0.3386,1.0,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
80868,3,CCC,0.0079,0.0,0.0079,0.0,Markov,CCC: recommended based on available signals.
86047,1,EEE,1.0,0.9624,1.0,0.2047,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
86047,2,CCC,0.4458,0.0,0.4458,1.0,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
86047,3,FFF,0.4458,0.8819,0.4458,0.0,Content+Markov,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
100788,1,EEE,1.0,0.9638,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
100788,2,DDD,0.8571,0.0,0.8571,0.0,Markov,DDD: commonly chosen next by students with similar outcomes.
100788,3,CCC,0.0357,0.0,0.0357,0.2177,Markov+CF,CCC: recommended based on available signals.
105168,1,FFF,1.0,0.9257,1.0,0.4343,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
105168,2,DDD,0.8387,0.0,0.8387,0.6172,Markov+CF,DDD: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
105168,3,CCC,0.0323,0.0,0.0323,1.0,Markov+CF,CCC: popular among students with similar study patterns.
105523,1,EEE,1.0,0.9795,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
105523,2,FFF,0.3386,0.9408,0.3386,1.0,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
105523,3,CCC,0.0079,0.0,0.0079,0.1764,Markov+CF,CCC: recommended based on available signals.
107028,1,EEE,1.0,0.9883,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
107028,2,CCC,0.4458,0.0,0.4458,1.0,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
107028,3,DDD,0.4211,0.0,0.4211,0.5073,Markov+CF,DDD: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
117232,1,EEE,1.0,0.9682,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
117232,2,DDD,0.3543,0.9043,0.3543,0.0,Content+Markov,DDD: matches your academic profile; commonly chosen next by students with similar outcomes.
117232,3,CCC,0.0079,0.891,0.0079,1.0,Content+Markov+CF,CCC: matches your academic profile; popular among students with similar study patterns.
123598,1,EEE,1.0,1.0,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
123598,2,FFF,0.3386,0.9471,0.3386,0.0,Content+Markov,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
123598,3,GGG,0.0079,0.9956,0.0079,0.0,Content+Markov,GGG: matches your academic profile.
126394,1,EEE,1.0,0.9727,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
126394,2,FFF,0.3386,0.9376,0.3386,0.1193,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
126394,3,GGG,0.0079,1.0,0.0079,0.0,Content+Markov,GGG: matches your academic profile.
126812,1,EEE,1.0,1.0,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
126812,2,CCC,0.4458,0.0,0.4458,0.0,Markov,CCC: commonly chosen next by students with similar outcomes.
126812,3,FFF,0.4458,0.9687,0.4458,0.0,Content+Markov,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
130671,1,EEE,1.0,1.0,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
130671,2,CCC,0.4458,0.0,0.4458,0.355,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
130671,3,FFF,0.4458,0.9746,0.4458,0.8222,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
131145,1,EEE,1.0,0.9698,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
131145,2,FFF,0.75,0.9364,0.75,0.0,Content+Markov,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
131145,3,GGG,0.0357,1.0,0.0357,0.0,Content+Markov,GGG: matches your academic profile.
134025,1,EEE,1.0,0.961,1.0,1.0,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
134025,2,CCC,0.4458,0.9117,0.4458,0.0,Content+Markov,CCC: matches your academic profile; commonly chosen next by students with similar outcomes.
134025,3,FFF,0.4458,0.9133,0.4458,0.0,Content+Markov,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
134982,1,CCC,1.0,0.0,1.0,1.0,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
134982,2,FFF,1.0,0.9855,1.0,0.1884,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
134982,3,DDD,0.9444,0.0,0.9444,0.1917,Markov+CF,DDD: commonly chosen next by students with similar outcomes.
139190,1,EEE,1.0,1.0,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
139190,2,CCC,0.4458,0.0,0.4458,0.0,Markov,CCC: commonly chosen next by students with similar outcomes.
139190,3,DDD,0.4211,0.0,0.4211,0.0,Markov,DDD: commonly chosen next by students with similar outcomes.
155298,1,EEE,1.0,0.9677,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
155298,2,DDD,0.3543,0.9068,0.3543,0.0,Content+Markov,DDD: matches your academic profile; commonly chosen next by students with similar outcomes.
155298,3,GGG,0.0079,1.0,0.0079,0.2321,Content+Markov+CF,GGG: matches your academic profile.
156788,1,FFF,1.0,1.0,1.0,0.0,Content+Markov,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
156788,2,CCC,0.1374,0.0,0.1374,1.0,Markov+CF,CCC: popular among students with similar study patterns.
156788,3,DDD,0.0383,0.0,0.0383,0.0,Markov,DDD: recommended based on available signals.
160536,1,DDD,1.0,0.0,1.0,0.0,Markov,DDD: commonly chosen next by students with similar outcomes.
160536,2,FFF,0.9556,0.9738,0.9556,0.4354,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
160536,3,GGG,0.0222,0.9888,0.0222,0.0,Content+Markov,GGG: matches your academic profile.
163067,1,EEE,1.0,0.9734,1.0,0.1386,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
163067,2,CCC,0.4458,0.0,0.4458,0.1417,Markov+CF,CCC: commonly chosen next by students with similar outcomes.
163067,3,FFF,0.4458,0.9442,0.4458,0.5065,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
164968,1,FFF,1.0,0.9238,1.0,1.0,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
164968,2,DDD,0.8387,0.8949,0.8387,0.1985,Content+Markov+CF,DDD: matches your academic profile; commonly chosen next by students with similar outcomes.
164968,3,GGG,0.0323,1.0,0.0323,0.0,Content+Markov,GGG: matches your academic profile.
165733,1,EEE,1.0,0.9222,1.0,0.1611,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
165733,2,CCC,0.4458,0.0,0.4458,1.0,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
165733,3,FFF,0.4458,0.8401,0.4458,0.4943,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
171896,1,EEE,1.0,0.9794,1.0,0.2278,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
171896,2,CCC,0.4458,0.0,0.4458,0.4478,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
171896,3,FFF,0.4458,0.9243,0.4458,1.0,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
172965,1,CCC,1.0,0.9139,1.0,0.9343,Content+Markov+CF,CCC: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
172965,2,EEE,0.0343,0.9592,0.0343,0.0,Content+Markov,EEE: matches your academic profile.
172965,3,BBB,0.0093,0.9154,0.0093,0.8633,Content+Markov+CF,BBB: matches your academic profile; popular among students with similar study patterns.
178258,1,DDD,1.0,0.9061,1.0,1.0,Content+Markov+CF,DDD: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
178258,2,CCC,0.1538,1.0,0.1538,0.1419,Content+Markov+CF,CCC: matches your academic profile.
178258,3,EEE,0.0302,0.9007,0.0302,0.6942,Content+Markov+CF,EEE: matches your academic profile; popular among students with similar study patterns.
179904,1,EEE,1.0,0.9729,1.0,1.0,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
179904,2,FFF,0.2263,0.9657,0.2263,0.0,Content+Markov,FFF: matches your academic profile.
179904,3,GGG,0.0073,1.0,0.0073,0.0,Content+Markov,GGG: matches your academic profile.
185127,1,EEE,1.0,0.9655,1.0,0.8556,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
185127,2,FFF,0.3386,0.9229,0.3386,0.0,Content+Markov,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
185127,3,GGG,0.0079,1.0,0.0079,0.0,Content+Markov,GGG: matches your academic profile.
188273,1,DDD,1.0,0.8897,1.0,0.0,Content+Markov,DDD: matches your academic profile; commonly chosen next by students with similar outcomes.
188273,2,FFF,0.9556,0.9229,0.9556,0.5933,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
188273,3,CCC,0.0222,0.8749,0.0222,0.5633,Content+Markov+CF,CCC: matches your academic profile; popular among students with similar study patterns.
189624,1,EEE,1.0,0.989,1.0,0.1428,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
189624,2,FFF,0.3386,0.9586,0.3386,1.0,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
189624,3,CCC,0.0079,0.0,0.0079,0.4109,Markov+CF,CCC: popular among students with similar study patterns.
191000,1,CCC,1.0,0.0,1.0,0.6689,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
191000,2,EEE,0.0517,0.0,0.0517,0.0,Markov,EEE: recommended based on available signals.
191000,3,DDD,0.0517,0.0,0.0517,0.0,Markov,DDD: recommended based on available signals.
197486,1,CCC,1.0,0.0,1.0,0.7038,Markov+CF,CCC: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
197486,2,FFF,1.0,0.9405,1.0,1.0,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
197486,3,DDD,0.9444,0.0,0.9444,0.0,Markov,DDD: commonly chosen next by students with similar outcomes.
203707,1,EEE,1.0,0.985,1.0,1.0,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
203707,2,CCC,0.4458,0.0,0.4458,0.0,Markov,CCC: commonly chosen next by students with similar outcomes.
203707,3,DDD,0.4211,0.0,0.4211,0.0,Markov,DDD: commonly chosen next by students with similar outcomes.
206599,1,EEE,1.0,0.962,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
206599,2,DDD,0.1898,0.9015,0.1898,1.0,Content+Markov+CF,DDD: matches your academic profile; popular among students with similar study patterns.
206599,3,CCC,0.0073,0.9097,0.0073,0.0932,Content+Markov+CF,CCC: matches your academic profile.
232078,1,CCC,1.0,0.0,1.0,0.0,Markov,CCC: commonly chosen next by students with similar outcomes.
232078,2,EEE,0.0517,0.9225,0.0517,1.0,Content+Markov+CF,EEE: matches your academic profile; popular among students with similar study patterns.
232078,3,FFF,0.0345,0.85,0.0345,0.0,Content+Markov,FFF: matches your academic profile.
234068,1,EEE,1.0,0.9771,1.0,0.0,Content+Markov,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
234068,2,DDD,0.1898,0.0,0.1898,0.0,Markov,DDD: recommended based on available signals.
234068,3,GGG,0.0073,1.0,0.0073,0.0,Content+Markov,GGG: matches your academic profile.
234311,1,FFF,1.0,0.9158,1.0,0.388,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
234311,2,DDD,0.8387,0.0,0.8387,0.3732,Markov+CF,DDD: commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
234311,3,CCC,0.0323,0.0,0.0323,0.0,Markov,CCC: recommended based on available signals.
234740,1,EEE,1.0,0.957,1.0,1.0,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes; popular among students with similar study patterns.
234740,2,CCC,0.4458,0.8927,0.4458,0.2519,Content+Markov+CF,CCC: matches your academic profile; commonly chosen next by students with similar outcomes.
234740,3,FFF,0.4458,0.8938,0.4458,0.2519,Content+Markov+CF,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
236620,1,EEE,1.0,0.9629,1.0,0.1673,Content+Markov+CF,EEE: matches your academic profile; commonly chosen next by students with similar outcomes.
236620,2,FFF,0.3386,0.9259,0.3386,0.0,Content+Markov,FFF: matches your academic profile; commonly chosen next by students with similar outcomes.
