id_student,code_module,code_presentation,mean_score,first_half,second_half,recovery,full_slope,score_std,mean_clicks,mean_help,n_weeks,dominant_archetype,archetype_final
6516,AAA,2014J,46.06666666666667,41.32631578947368,50.57,9.243684210526318,0.4877732793522264,12.938856869678137,71.56410256410257,11.564102564102564,39,Steady Engager,Steady Engager
8462,DDD,2013J,38.05294117647059,35.05,40.72222222222223,5.672222222222231,0.6779411764705894,10.775741691249832,38.0,2.823529411764706,17,Steady Engager,Steady Engager
8462,DDD,2014J,16.3,16.3,16.3,0.0,0.0,0.0,10.0,3.0,1,Struggling,Ghost
11391,AAA,2013J,44.611111111111114,43.96923076923077,45.20714285714286,1.2379120879120933,0.21831501831501834,10.899552601532791,34.592592592592595,7.148148148148148,27,Steady Engager,Coasting
23629,BBB,2013B,35.62727272727273,25.919999999999998,43.71666666666666,17.796666666666663,2.5581818181818194,13.098653012573532,14.636363636363637,7.909090909090909,11,Steady Engager,Ghost
23698,CCC,2014J,39.08518518518518,36.292307692307695,41.67857142857143,5.386263736263736,0.504212454212455,12.25469535725143,33.7037037037037,2.3333333333333335,27,Recovering,Coasting
23798,BBB,2013J,39.73235294117647,40.65882352941176,38.805882352941175,-1.852941176470587,0.04890756302521071,10.194396401606108,17.352941176470587,4.352941176470588,34,Steady Engager,Coasting
24186,GGG,2014B,27.261111111111106,23.255555555555553,31.266666666666666,8.011111111111113,0.8791537667698658,11.56523232647888,10.222222222222221,0.7777777777777778,18,Ghost,Ghost
24213,DDD,2014B,45.33714285714286,39.86470588235294,50.50555555555556,10.640849673202617,0.6652100840336135,12.65859585339511,56.91428571428571,22.97142857142857,35,Anxious,Anxious
24391,GGG,2013J,40.9516129032258,33.56666666666667,47.875,14.30833333333333,0.9161693548387092,12.442950354621503,22.967741935483872,2.0,31,Steady Engager,Late Recoverer
24734,AAA,2014J,37.26666666666667,35.2,39.21176470588235,4.011764705882349,0.27934491978609655,9.782100743168359,15.121212121212121,4.818181818181818,33,Steady Engager,Ghost
25107,BBB,2013B,45.46176470588235,43.205882352941174,47.71764705882352,4.511764705882349,0.4169136745607337,14.16125648101563,75.3529411764706,46.61764705882353,34,Recovering,Anxious
25150,EEE,2014B,46.82500000000001,38.25,55.4,17.15,1.0337323037323043,14.716267925892987,58.416666666666664,4.111111111111111,36,Steady Engager,Late Recoverer
25261,CCC,2014J,32.65833333333334,29.21666666666667,36.1,6.883333333333333,0.8122377622377626,12.948002312669274,83.08333333333333,42.166666666666664,12,Steady Engager,Struggling
25572,DDD,2014J,26.278571428571432,17.9,34.65714285714285,16.757142857142853,2.2265934065934063,14.558266113960755,8.071428571428571,0.2857142857142857,14,Ghost,Ghost
25629,BBB,2014B,7.2,0.1,10.75,10.65,7.999999999999998,6.65482281256734,5.333333333333333,2.6666666666666665,3,Struggling,Ghost
25997,BBB,2014B,38.8,38.8,38.8,0.0,0.0,0.0,13.0,0.0,1,Steady Engager,Ghost
26023,GGG,2013J,40.92727272727272,33.15625,48.241176470588236,15.084926470588236,1.0662433155080213,13.764915276237028,23.818181818181817,3.5757575757575757,33,Steady Engager,Late Recoverer
26192,AAA,2014J,44.61142857142857,45.88823529411765,43.40555555555555,-2.482679738562098,-0.07579831932773123,11.459986821946336,63.51428571428571,3.4,35,Steady Engager,Steady Engager
26211,FFF,2014B,57.41052631578947,53.415789473684214,61.40526315789474,7.989473684210523,0.5959295327716381,13.102365987096901,400.13157894736844,34.39473684210526,38,Anxious,Anxious
26247,FFF,2013J,35.339999999999996,19.15,46.133333333333326,26.983333333333327,9.67,16.11317473373885,95.6,27.8,5,Recovering,Late Recoverer
26315,BBB,2014J,48.06571428571428,44.2235294117647,51.69444444444444,7.470915032679741,0.382745098039216,12.728190149812969,70.02857142857142,8.057142857142857,35,Steady Engager,Steady Engager
26734,BBB,2014J,37.849999999999994,30.575000000000003,45.125,14.549999999999997,2.0288235294117647,14.698596871810588,13.125,2.1875,16,Recovering,Ghost
26915,EEE,2013J,15.919999999999998,14.05,17.166666666666668,3.116666666666667,0.6799999999999996,4.557806489968612,12.2,4.6,5,Steady Engager,Ghost
