id_student,code_module,code_presentation,risk_prob,flagged,top3_reasons,archetype_at_w6,alert_tier,recommended_action
627651,FFF,2014B,0.951,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
651611,FFF,2014J,0.951,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
685565,FFF,2014J,0.951,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
681120,FFF,2014J,0.951,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
289180,FFF,2014B,0.951,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
695574,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
2468232,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
2486215,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
648820,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
465194,CCC,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
2602253,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
2521574,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
2702660,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
2687012,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
649351,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
649278,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
649247,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
648477,CCC,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
2509531,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
630037,BBB,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
625207,EEE,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
630902,BBB,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
618514,EEE,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
618701,EEE,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
618768,EEE,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
619887,EEE,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
620713,EEE,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
630134,BBB,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
630182,BBB,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
630340,BBB,2014B,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
693643,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
693744,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
648605,CCC,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
650070,CCC,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
691563,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
692189,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
692273,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
692740,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
692976,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Steady Engager,High,Immediate outreach — schedule meeting within 48 hours
693223,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
693448,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
900936,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Struggling,High,Immediate outreach — schedule meeting within 48 hours
1459010,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
1629444,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
694415,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
694464,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Recovering,High,Immediate outreach — schedule meeting within 48 hours
694715,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Coasting,High,Immediate outreach — schedule meeting within 48 hours
695416,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
695449,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
689640,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
689747,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
689751,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
689761,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
690559,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
690631,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
691177,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
649686,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
649731,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
650090,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
650121,BBB,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
648419,CCC,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
649215,CCC,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
649248,CCC,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
649413,CCC,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
649523,CCC,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
688509,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
688532,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
688752,FFF,2014J,0.95,1,completion_rate_w6 (↑risk) | mean_score_ass_w6 (↑risk) | mod_GGG (↑risk),Ghost,High,Immediate outreach — schedule meeting within 48 hours
